date,price,volume
2020-06-04,17.65,20119282.25
2020-06-05,17.53,17888462.65
2020-06-06,17.45,19451277.43
2020-06-07,17.42,13268951.71
2020-06-08,17.39,14039213.91
2020-06-09,17.44,16782737.16
2020-06-10,16.22,17510773.95
2020-06-11,16.61,16769893.88
2020-06-12,16.84,14415795.28
2020-06-13,16.54,12741150.53
2020-06-14,16.36,18046858.11
2020-06-15,16.4,14836858.39
2020-06-16,16.36,15826472.97
2020-06-17,16.13,13089100.22
2020-06-18,15.96,12396776.46
2020-06-19,16.07,11653659.26
2020-06-20,15.93,9533294.88
2020-06-21,16.49,11842960.92
2020-06-22,16.39,11180396.41
2020-06-23,15.99,13974468.47
2020-06-24,15.9,10580219.95
2020-06-25,15.76,8624234.73
2020-06-26,15.12,13882407.91
2020-06-27,15.39,19919318.73
2020-06-28,15.48,18141595.62
2020-06-29,15.4,19690218.72
2020-06-30,15.83,17642597.95
2020-07-01,15.37,16471484.56
2020-07-02,15.29,15584778.92
2020-07-03,15.57,17656994.64
2020-07-04,15.5,16094873.38
2020-07-05,16.31,19218516.12
2020-07-06,16.79,28860962.3
2020-07-07,17.26,26617645.14
2020-07-08,16.83,21483740.21
2020-07-09,17.3,18957957.7
2020-07-10,17.62,4413332.65
2020-07-11,18.31,23270994.76
2020-07-12,18.4,30484331.55
2020-07-13,18.1,23046122.37
2020-07-14,17.6,18208062.35
2020-07-15,17.15,16571691.59
2020-07-16,17.08,14615386.75
2020-07-17,17.16,14242487.8
2020-07-18,18.01,4376959.2
2020-07-19,17.48,21936730.08
2020-07-20,17.73,17955452.11
2020-07-21,18.12,16671073.78
2020-07-22,18.78,22837548.31
2020-07-23,19.2,28404900.61
2020-07-24,19.82,31619472.08
2020-07-25,19.58,28039628.41
2020-07-26,19.78,38465606.45
2020-07-27,20.19,29520316.65
2020-07-28,19.9,21650041.91
2020-07-29,20.0,18939676.17
2020-07-30,20.68,22377624.8
2020-07-31,21.63,24213016.49
