date,price,volume
2020-06-28,4.618,8112239.39
2020-06-29,4.566,4753126.2
2020-06-30,4.709,8722303.5
2020-07-01,4.797,17097488.11
2020-07-02,4.738,11962701.3
2020-07-03,4.819,4785996.11
2020-07-04,4.756,6478192.96
2020-07-05,5.365,31126563.35
2020-07-06,5.723,47218342.23
2020-07-07,6.506,70642408.97
2020-07-08,6.082,44030885.83
2020-07-09,6.142,29007905.12
2020-07-10,6.1,15839431.32
2020-07-11,7.349,72555440.35
2020-07-12,7.175,160774000.08
2020-07-13,8.124,102446362.63
2020-07-14,8.63,101630917.88
2020-07-15,8.344,86896515.02
2020-07-16,8.255,39446643.87
2020-07-17,7.974,52370821.75
2020-07-18,8.087,26592543.53
2020-07-19,7.237,48286631.04
2020-07-20,7.317,47765946.85
2020-07-21,7.485,33252875.32
2020-07-22,7.914,43649779.12
2020-07-23,7.444,20965494.09
2020-07-24,7.678,16060731.19
2020-07-25,7.502,27987706.67
2020-07-26,7.117,67391535.33
2020-07-27,7.25,28634505.62
2020-07-28,7.103,26960893.49
2020-07-29,7.422,27432734.8
2020-07-30,7.811,32773284.02
2020-07-31,8.323,37613088.72
2020-08-01,8.285,67515158.27
2020-08-02,9.268,50421013.38
2020-08-03,9.872,72093001.33
2020-08-04,9.534,43333895.32
2020-08-05,10.24,40720914.51
2020-08-06,10.14,52025936.09
2020-08-07,12.73,150900047.39
2020-08-08,13.83,147826215.87
2020-08-09,13.49,100573992.6
2020-08-10,12.98,82491884.04
2020-08-11,16.48,167458201.39
2020-08-12,17.21,266286837.34
2020-08-13,16.98,121536661.52
2020-08-14,19.22,179280964.58
2020-08-15,18.83,112463781.74
2020-08-16,16.86,127921195.78
2020-08-17,16.2,192118585.52
2020-08-18,16.18,112427533.05
2020-08-19,16.05,75821685.51
2020-08-20,13.83,223068394.05
2020-08-21,15.84,127265714.9
2020-08-22,15.16,68839794.35
2020-08-23,15.14,48780921.41
2020-08-24,14.13,67129941.49
2020-08-25,15.2,70910452.4
2020-08-26,14.52,51582343.39
2020-08-27,15.12,40758330.81
2020-08-28,16.38,85665333.21
2020-08-29,16.47,77028612.8
2020-08-30,15.6,49640463.42
2020-08-31,16.08,55957372.17
2020-09-01,14.78,54840219.19
2020-09-02,12.05,81330144.87
2020-09-03,12.39,52634341.15
2020-09-04,10.61,96276810.5
2020-09-05,12.79,99357100.59
2020-09-06,12.47,79726944.87
2020-09-07,11.74,54794750.57
2020-09-08,12.35,39668390.89
2020-09-09,12.52,59644896.31
2020-09-10,12.45,35325695.83
2020-09-11,12.72,22655902.61
2020-09-12,12.07,35964223.05
2020-09-13,12.13,31159710.4
2020-09-14,10.95,44055379.48
2020-09-15,10.74,44640783.03
2020-09-16,11.02,47060061.28
2020-09-17,10.09,54178701.44
2020-09-18,10.12,28119332.14
2020-09-19,9.736,37248545.39
2020-09-20,8.708,60005429.31
2020-09-21,8.748,28736545.36
2020-09-22,7.64,62301395.35
2020-09-23,9.872,98633144.87
2020-09-24,10.73,82478368.49
2020-09-25,10.33,44661994.83
2020-09-26,10.79,36523680.99
2020-09-27,10.27,32449729.33
2020-09-28,10.14,41053477.92
2020-09-29,9.867,22266579.63
2020-09-30,9.653,32942341.45
2020-10-01,9.218,41597325.99
2020-10-02,9.271,13945253.11
2020-10-03,9.396,13082512.41
2020-10-04,9.607,19392937.13
2020-10-05,8.772,27828912.25
2020-10-06,8.976,25359483.17
2020-10-07,9.559,31207086.89
2020-10-08,10.41,42507711.54
2020-10-09,10.52,33261313.79
2020-10-10,10.86,31873292.29
2020-10-11,11.43,54029990.01
2020-10-12,11.01,36188827.92
2020-10-13,10.9,32417523.65
2020-10-14,10.75,23992210.58
2020-10-15,10.59,21256641.25
2020-10-16,10.63,11131743.67
2020-10-17,10.95,14025316.61
2020-10-18,10.92,20269694.77
2020-10-19,9.87,30137053.81
2020-10-20,10.82,43539509.83
2020-10-21,11.98,63265465.54
2020-10-22,12.17,45023739.75
2020-10-23,12.72,36013779.94
2020-10-24,12.16,31874255.38
2020-10-25,11.74,46585941.65
2020-10-26,11.94,28589380.19
2020-10-27,11.46,17041661.86
2020-10-28,11.29,24441222.84
2020-10-29,11.09,33454453.17
2020-10-30,11.25,16888311.4
2020-10-31,11.57,14572498.38
2020-11-01,10.79,29631387.65
2020-11-02,10.39,20246789.98
2020-11-03,10.47,19171027.65
2020-11-04,11.01,20258875.16
2020-11-05,12.18,24440289.14
2020-11-06,11.76,55027929.54
2020-11-07,12.72,31719780.71
2020-11-08,12.52,27270403.76
2020-11-09,13.02,41857320.0
2020-11-10,12.78,54442664.47
2020-11-11,12.42,43251913.21
2020-11-12,12.89,38373624.44
2020-11-13,12.56,23152997.12
2020-11-14,12.13,26895065.59
2020-11-15,12.63,32297177.2
2020-11-16,13.4,55072979.42
2020-11-17,13.58,104445499.85
2020-11-18,13.63,54572608.69
2020-11-19,14.11,59902360.76
2020-11-20,15.46,95354343.75
2020-11-21,14.52,84575687.14
2020-11-22,15.28,76006680.72
2020-11-23,15.66,131093058.15
2020-11-24,14.23,73400426.56
2020-11-25,12.57,162160655.94
2020-11-26,12.5,58373388.4
2020-11-27,13.1,54448509.63
2020-11-28,13.39,30779080.14
2020-11-29,14.24,70063925.35
2020-11-30,13.36,74494562.3
2020-12-01,13.98,35335685.61
2020-12-02,13.99,28345749.44
2020-12-03,12.7,44573202.22
2020-12-04,13.18,23198499.1
2020-12-05,13.51,22009533.06
2020-12-06,13.07,16995072.56
2020-12-07,12.14,35280824.22
2020-12-08,12.63,48538095.78
2020-12-09,11.9,28040574.32
2020-12-10,11.65,32494857.02
2020-12-11,12.21,27835422.83
2020-12-12,12.94,29473101.96
2020-12-13,12.84,23331815.75
2020-12-14,12.69,19286818.81
2020-12-15,13.51,45562402.21
2020-12-16,13.46,72565029.2
2020-12-17,13.52,33409494.68
2020-12-18,13.49,33471288.14
2020-12-19,13.07,40581956.65
2020-12-20,12.31,43422428.22
2020-12-21,12.81,37509963.89
2020-12-22,10.98,90989982.65
2020-12-23,11.57,86224250.27
2020-12-24,11.55,45659811.27
2020-12-25,10.97,52511636.1
2020-12-26,12.14,134372340.29
